"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 14 10:16:11 GMT 2022","Mon Nov 14 10:16:11 GMT 2022","56","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","longTextTest","longTextTest",""
"failed","Mon Nov 14 10:15:23 GMT 2022","Mon Nov 14 10:15:28 GMT 2022","4390","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","dataTableTest","dataTableTest",""
"passed","Mon Nov 14 10:15:18 GMT 2022","Mon Nov 14 10:15:23 GMT 2022","4620","Test suite","Tests","org.mytests.tests.example.MenuTests","org.mytests.tests.example.MenuTests","menuTest","menuTest",""
"passed","Mon Nov 14 10:15:30 GMT 2022","Mon Nov 14 10:15:36 GMT 2022","6331","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","filterLinesTest","filterLinesTest",""
"broken","Mon Nov 14 10:16:19 GMT 2022","Mon Nov 14 10:16:20 GMT 2022","1594","Test suite","Tests","org.mytests.tests.example.FormTests","org.mytests.tests.example.FormTests","loginTest","loginTest",""
"passed","Mon Nov 14 10:16:08 GMT 2022","Mon Nov 14 10:16:09 GMT 2022","1149","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","hugeTableSearchTest","hugeTableSearchTest",""
"passed","Mon Nov 14 10:16:11 GMT 2022","Mon Nov 14 10:16:16 GMT 2022","4775","Test suite","Tests","org.mytests.tests.example.FormTests","org.mytests.tests.example.FormTests","fillContactFormTest","fillContactFormTest",""
"passed","Mon Nov 14 10:16:10 GMT 2022","Mon Nov 14 10:16:10 GMT 2022","438","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","hugeTableValidateTest","hugeTableValidateTest",""
"failed","Mon Nov 14 10:15:28 GMT 2022","Mon Nov 14 10:15:29 GMT 2022","1202","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","filterDataTest","filterDataTest",""
"passed","Mon Nov 14 10:16:02 GMT 2022","Mon Nov 14 10:16:06 GMT 2022","3647","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","bigDropdownTest","bigDropdownTest",""
"passed","Mon Nov 14 10:15:08 GMT 2022","Mon Nov 14 10:15:18 GMT 2022","10022","Test suite","Tests","org.mytests.tests.example.MenuTests","org.mytests.tests.example.MenuTests","customMenuTest","customMenuTest",""
"failed","Mon Nov 14 10:15:37 GMT 2022","Mon Nov 14 10:16:02 GMT 2022","25053","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","tableAssertsTest","tableAssertsTest",""
"passed","Mon Nov 14 10:16:16 GMT 2022","Mon Nov 14 10:16:19 GMT 2022","3096","Test suite","Tests","org.mytests.tests.example.FormTests","org.mytests.tests.example.FormTests","fillContactsTest","fillContactsTest",""
